T (degC),p (mbar),rh (%),model_prediction,anomaly_status,anomaly_score
-5.94,1000.44,86.1,1,Normal,0.4950341381836061
-6.09,1000.39,86.4,1,Normal,0.4957044582574877
-6.23,1000.3,86.5,1,Normal,0.49907567265382363
-6.32,1000.27,86.4,1,Normal,0.49705377277805435
-6.5,1000.29,86.3,1,Normal,0.50284364030626
-6.67,1000.3,86.8,1,Normal,0.5039945022115625
-6.71,1000.35,87.4,1,Normal,0.5050185284724219
-6.66,1000.41,87.4,1,Normal,0.5026251052337571
-6.72,1000.39,87.1,1,Normal,0.5050185284724219
-6.77,1000.37,87.1,1,Normal,0.5046769554120589
-6.81,1000.31,87.1,1,Normal,0.5050185284724219
-6.85,1000.3,87.1,1,Normal,0.5053603327146414
-6.94,1000.21,87.2,1,Normal,0.5051891446938794
-7.06,1000.24,87.3,1,Normal,0.5055310644117598
-7.2,1000.19,87.4,1,Normal,0.5057327725241679
-7.29,1000.29,87.7,1,Normal,0.5064175794966459
-7.34,1000.2,88.0,1,Normal,0.5084147993335284
-7.32,1000.18,88.8,1,Normal,0.5066922718426242
-7.26,1000.28,88.2,1,Normal,0.5024223155811253
-7.53,1000.3,88.5,1,Normal,0.5093008421639995
-7.71,1000.31,89.1,1,Normal,0.5139663255554678
-7.92,1000.36,89.8,1,Normal,0.5193117313575626
-7.97,1000.43,90.3,1,Normal,0.5192697007662311
-7.94,1000.43,90.4,1,Normal,0.5207499931250164
-8.12,1000.41,89.9,1,Normal,0.5228094323028379
-8.34,1000.42,90.0,1,Normal,0.5244917279756399
-8.44,1000.43,90.3,1,Normal,0.5266336710359983
-8.43,1000.43,90.9,1,Normal,0.5293076124735415
-8.28,1000.43,91.2,1,Normal,0.5295983211590034
-8.44,1000.49,90.8,1,Normal,0.5305004345309167
-8.59,1000.48,91.0,1,Normal,0.5301416265927312
-8.63,1000.4,91.4,1,Normal,0.5318680410250266
-8.43,1000.31,91.8,1,Normal,0.5316362503210812
-8.37,1000.35,91.3,1,Normal,0.531433732703788
-8.29,1000.4,91.1,1,Normal,0.5288669271093475
-8.2,1000.43,91.1,1,Normal,0.5271705980816276
-7.98,1000.43,91.3,1,Normal,0.5236482295929081
-7.68,1000.46,91.4,1,Normal,0.5199076679782525
-7.34,1000.58,91.1,1,Normal,0.5137691785983913
-7.26,1000.67,90.5,1,Normal,0.5099352784502512
-7.24,1000.62,90.3,1,Normal,0.5084857281744365
-7.34,1000.6,90.2,1,Normal,0.5098637299480142
-7.38,1000.67,90.5,1,Normal,0.512356113204805
-7.37,1000.68,90.7,1,Normal,0.5134937347559778
-7.3,1000.67,90.9,1,Normal,0.5131464294264321
-7.17,1000.67,90.9,1,Normal,0.5108636890034415
-7.03,1000.58,90.5,1,Normal,0.5079702450231512
-6.89,1000.61,90.0,1,Normal,0.5038920212131945
-6.24,1000.59,89.1,1,Normal,0.5029460308279647
-4.52,1000.59,83.8,1,Normal,0.4854429228832124
-4.54,1000.57,78.7,1,Normal,0.5022109675475526
-5.38,1000.55,82.1,1,Normal,0.503593304444742
-5.74,1000.54,84.0,1,Normal,0.4957382493185607
-5.75,1000.58,85.0,1,Normal,0.49531405958803115
-5.6,1000.59,85.0,1,Normal,0.49531405958803115
-5.33,1000.56,84.8,1,Normal,0.4956492956977048
-5.09,1000.59,84.5,1,Normal,0.490601301131108
-4.84,1000.55,83.9,1,Normal,0.48587319158895836
-4.46,1000.5,82.7,1,Normal,0.48994480281486674
-4.44,1000.51,81.8,1,Normal,0.4931986926648361
-4.51,1000.43,82.2,1,Normal,0.4940326572210619
-4.08,1000.33,81.6,1,Normal,0.4888845385810702
-3.62,1000.22,80.0,1,Normal,0.49327226303983146
-3.05,1000.17,78.4,1,Normal,0.4937061396128503
-2.21,1000.14,75.4,1,Normal,0.48777649779998566
-1.55,1000.05,70.9,1,Normal,0.4999864028645201
-1.81,999.94,70.1,1,Normal,0.5046499152247441
-1.97,999.91,70.9,1,Normal,0.4999864028645201
-1.94,999.81,71.2,1,Normal,0.4968813713230029
-1.76,999.64,71.1,1,Normal,0.49647563212156853
-1.68,999.5,70.6,1,Normal,0.4962855366807023
-1.57,999.35,71.1,1,Normal,0.49629171450835896
-1.48,999.28,70.4,1,Normal,0.4953214966297197
-1.4,999.18,70.8,1,Normal,0.49154998609282885
-1.42,999.07,70.4,1,Normal,0.49695009266209594
-1.47,998.99,71.1,1,Normal,0.49708999144922644
-1.29,998.89,70.8,1,Normal,0.4925612539026946
-0.99,998.8,69.53,1,Normal,0.49663406397691956
-0.85,998.69,68.71,1,Normal,0.5010851666862722
-1.0,998.55,67.7,1,Normal,0.5036629353027274
-1.25,998.47,68.24,1,Normal,0.5049097801041278
-1.0,998.39,68.06,1,Normal,0.4999448668313014
-0.9,998.33,66.95,1,Normal,0.4988293173601134
-1.13,998.32,67.58,1,Normal,0.5003391256730821
-1.23,998.24,67.65,1,Normal,0.49940943230512913
-1.2,998.16,67.31,1,Normal,0.502643868905178
-0.94,998.13,65.7,1,Normal,0.5014250743346963
-0.78,998.04,64.87,1,Normal,0.5063035898902002
-0.72,997.96,64.48,1,Normal,0.5069891697999555
-0.88,997.86,64.25,1,Normal,0.5059369463110374
-0.89,997.84,64.44,1,Normal,0.5055947520718975
-1.1,997.73,63.93,1,Normal,0.5101306750808816
-1.2,997.69,64.58,1,Normal,0.5077404790211871
-1.26,997.6,65.64,1,Normal,0.5021492674324409
-1.2,997.59,65.66,1,Normal,0.5021492674324409
-1.28,997.59,66.31,1,Normal,0.5004328772751223
-1.47,997.54,66.4,1,Normal,0.5044320016575904
-1.67,997.53,67.13,1,Normal,0.5095233759469403
-1.77,997.44,68.18,1,Normal,0.5054891629883933
-1.87,997.35,68.7,1,Normal,0.5029797918686779
-1.96,997.28,69.37,1,Normal,0.5018384934582195
-2.07,997.22,70.3,1,Normal,0.48993254771399664
-2.15,997.19,70.6,1,Normal,0.4880910303802393
-2.21,997.14,71.0,1,Normal,0.48849087374810446
-2.28,997.11,71.2,1,Normal,0.48849087374810446
-2.33,997.1,71.3,1,Normal,0.4891523336623294
-2.42,997.08,71.2,1,Normal,0.4892250810000289
-2.47,996.97,71.3,1,Normal,0.4927004190795859
-2.54,996.93,71.5,1,Normal,0.49063549696992315
-2.66,996.85,72.2,1,Normal,0.48700862185268434
-2.71,996.85,73.4,1,Normal,0.47770962408336237
-2.81,996.77,75.2,1,Normal,0.47442286093828734
-2.96,996.63,77.0,1,Normal,0.47217958174252794
-3.02,996.61,77.9,1,Normal,0.46804878209944795
-3.16,996.59,80.2,1,Normal,0.4670712217550698
-3.23,996.5,81.2,1,Normal,0.46749115244747197
-3.24,996.38,81.9,1,Normal,0.4694329756654817
-3.24,996.31,83.1,1,Normal,0.46368105627748607
-3.24,996.21,83.8,1,Normal,0.4553562352374294
-3.26,996.12,84.8,1,Normal,0.4513580970348852
-3.31,995.98,86.0,1,Normal,0.4477250526253985
-3.31,995.93,86.4,1,Normal,0.4477250526253985
-3.29,995.79,86.7,1,Normal,0.44941729394331026
-3.24,995.71,86.8,1,Normal,0.44713213769130944
-3.2,995.6,87.0,1,Normal,0.4482950401380795
-3.15,995.5,87.8,1,Normal,0.4459755204907521
-3.28,995.35,89.3,1,Normal,0.4523226460091731
-3.22,995.26,89.7,1,Normal,0.4522134903891516
-3.11,995.22,88.7,1,Normal,0.44556417184527686
-3.06,995.07,88.1,1,Normal,0.44125292605255595
-3.04,994.95,87.6,1,Normal,0.4423981766491296
-3.08,994.84,88.0,1,Normal,0.44038296054766757
-3.11,994.7,88.8,1,Normal,0.4437573370772054
-3.09,994.59,89.2,1,Normal,0.4442869281644431
-3.08,994.52,89.4,1,Normal,0.4459095352265065
-3.06,994.46,89.9,1,Normal,0.44573098889262847
-3.09,994.34,90.3,1,Normal,0.44779513070446925
-3.04,994.25,90.4,1,Normal,0.45106291720797725
-2.93,994.06,90.3,1,Normal,0.4460426942526596
-2.91,993.95,90.4,1,Normal,0.45103845097613604
-2.94,993.86,90.9,1,Normal,0.4533288742489065
-3.03,993.76,91.6,1,Normal,0.4546836233997807
-3.05,993.64,92.6,1,Normal,0.4577823106029763
-2.97,993.5,92.9,1,Normal,0.46217580306615497
-2.68,993.35,91.6,1,Normal,0.45173387460241393
-2.53,993.24,89.7,1,Normal,0.44222404676163557
-2.5,993.08,89.2,1,Normal,0.4388502837049251
-2.42,992.97,88.6,1,Normal,0.4387193165367874
-2.37,992.81,88.5,1,Normal,0.43946445607130563
-2.31,992.74,88.6,1,Normal,0.4379088399627442
-2.3,992.69,88.7,1,Normal,0.43820522334427575
-2.24,992.68,89.2,1,Normal,0.4369957461916431
-2.24,992.67,89.5,1,Normal,0.4395251196435492
-2.25,992.58,89.8,1,Normal,0.4403838440889985
-2.22,992.51,89.7,1,Normal,0.4403838440889985
-2.15,992.41,89.1,1,Normal,0.4378681245954601
-2.11,992.31,88.6,1,Normal,0.4367830294426314
-2.07,992.3,88.3,1,Normal,0.4351905877927192
-2.01,992.2,88.1,1,Normal,0.43312866214165263
-2.15,992.1,89.4,1,Normal,0.4397687001626493
-2.24,991.89,90.7,1,Normal,0.44418922458848226
-2.17,991.75,90.8,1,Normal,0.44482525643950244
-2.1,991.61,90.0,1,Normal,0.4388697977088432
-2.06,991.55,89.5,1,Normal,0.438699357322564
-2.09,991.52,89.7,1,Normal,0.438699357322564
-2.1,991.49,89.7,1,Normal,0.438699357322564
-2.11,991.52,89.7,1,Normal,0.438699357322564
-2.04,991.47,89.7,1,Normal,0.4366625856439087
-1.96,991.45,89.1,1,Normal,0.4369873962970295
-1.94,991.45,89.0,1,Normal,0.4372831560314349
-1.97,991.52,89.0,1,Normal,0.4353262357665604
-1.96,991.57,89.7,1,Normal,0.437253865465022
-2.02,991.46,90.3,1,Normal,0.43830146674286485
-2.03,991.34,90.7,1,Normal,0.4444976608988037
-2.07,991.34,90.8,1,Normal,0.44657097855117867
-1.97,991.35,90.7,1,Normal,0.44509955010585345
-1.88,991.33,90.3,1,Normal,0.44083110068376524
-1.79,991.32,90.0,1,Normal,0.4395954099186734
-1.79,991.31,89.6,1,Normal,0.4395954099186734
-1.74,991.24,89.7,1,Normal,0.4405755184076279
-1.67,991.23,89.8,1,Normal,0.43989156624288145
13.51,991.2,89.6,1,Normal,0.4166897915177271
-1.16,991.21,89.2,1,Normal,0.43367459273726916
-0.79,991.33,87.6,1,Normal,0.43234254722387017
-0.62,991.33,86.4,1,Normal,0.42766947369706926
-0.63,991.33,85.8,1,Normal,0.43154641915509834
-0.53,991.33,86.5,1,Normal,0.42648470165077484
-0.34,991.33,85.9,1,Normal,0.42714971168737353
-0.29,991.33,85.9,1,Normal,0.42714971168737353
-0.28,991.32,86.1,1,Normal,0.42438003391458223
-0.23,991.23,86.1,1,Normal,0.427727453236409
-0.02,991.24,85.7,1,Normal,0.4273774317057875
0.12,991.27,84.9,1,Normal,0.42648388358956363
0.16,991.29,84.7,1,Normal,0.4264304011675082
0.18,991.29,85.1,1,Normal,0.4251603358870708
0.25,991.33,85.4,1,Normal,0.4228309781904706
0.46,991.33,85.4,1,Normal,0.4228309781904706
0.43,991.4,84.9,1,Normal,0.4224130120860321
0.48,991.43,85.2,1,Normal,0.4213440710209171
0.58,991.33,84.4,1,Normal,0.42503961789779204
0.71,991.3,83.9,1,Normal,0.4235018081969395
0.91,991.33,83.3,1,Normal,0.42507755322449076
0.99,991.36,83.1,1,Normal,0.4246798340204219
1.01,991.33,83.8,1,Normal,0.4194291081225711
1.11,991.33,83.6,1,Normal,0.41911137300386986
1.22,991.34,83.3,1,Normal,0.42116360503936495
1.23,991.33,83.0,1,Normal,0.42201933380185347
1.31,991.34,82.6,1,Normal,0.421879258652545
1.39,991.35,82.3,1,Normal,0.41726139091594877
1.43,991.28,82.3,1,Normal,0.416578128166381
1.53,991.19,82.2,1,Normal,0.41659599930699903
1.67,991.19,81.8,1,Normal,0.4172455231120123
1.77,991.26,81.3,1,Normal,0.4190547255705259
1.71,991.22,81.7,1,Normal,0.4191324831579561
1.7,991.21,82.2,1,Normal,0.417228527308577
1.75,991.25,82.3,1,Normal,0.4177438942697028
1.79,991.32,82.2,1,Normal,0.41736273996347534
1.79,991.32,82.3,1,Normal,0.417878272706094
1.94,991.3,81.8,1,Normal,0.41651346229303166
2.13,991.21,81.0,1,Normal,0.41784148816535066
2.23,991.19,80.2,1,Normal,0.4196988407972208
2.35,991.07,79.2,1,Normal,0.4217920673580634
2.4,990.97,78.4,1,Normal,0.4239623641131987
2.41,991.04,78.5,1,Normal,0.4218626212191115
2.3,990.95,79.2,1,Normal,0.42266628023318203
2.39,991.0,79.2,1,Normal,0.42084367439017556
2.39,991.0,79.1,1,Normal,0.42084367439017556
2.25,990.97,80.3,1,Normal,0.41933807714121485
2.25,990.94,81.0,1,Normal,0.41655740833022
2.28,990.95,81.2,1,Normal,0.4148258937018694
2.26,990.91,81.7,1,Normal,0.41617753072659225
2.05,990.96,83.8,1,Normal,0.41189797507005393
2.0,990.96,84.8,1,Normal,0.41317623608123244
2.07,990.95,84.6,1,Normal,0.4122557977208437
1.98,990.96,84.8,1,Normal,0.41178429687425583
1.79,990.99,86.0,1,Normal,0.4119968791226365
1.83,990.96,86.7,1,Normal,0.41432628398071747
1.81,990.96,87.2,1,Normal,0.41566629768940866
1.83,990.93,87.2,1,Normal,0.41566629768940866
1.83,990.84,86.6,1,Normal,0.4148456793230098
1.83,990.84,86.2,1,Normal,0.4111571590764992
1.83,990.84,85.7,1,Normal,0.4128820422065684
1.83,990.86,85.2,1,Normal,0.41201225577851874
1.85,990.84,84.8,1,Normal,0.4137947281384228
1.88,990.82,84.4,1,Normal,0.41309476080320373
1.83,990.73,84.4,1,Normal,0.41466541489772096
1.77,990.72,84.6,1,Normal,0.41330648075234555
1.71,990.72,84.9,1,Normal,0.4133583171870399
1.66,990.72,85.4,1,Normal,0.4124100319674085
1.58,990.78,86.1,1,Normal,0.40926107455294497
1.57,990.83,86.1,1,Normal,0.4088317494873173
1.58,990.73,85.9,1,Normal,0.4119320798097241
1.63,990.66,85.6,1,Normal,0.41102218547629277
1.63,990.59,85.5,1,Normal,0.4118915416409829
1.6,990.57,85.9,1,Normal,0.4107669572081497
1.48,990.48,87.3,1,Normal,0.4107153982901623
1.49,990.47,88.0,1,Normal,0.4083114574380566
1.56,990.4,88.1,1,Normal,0.40888188754074944
1.54,990.3,88.6,1,Normal,0.41125282021052995
1.4,990.21,89.9,1,Normal,0.41375177721832634
1.36,990.12,90.8,1,Normal,0.4218228875994593
1.34,990.02,91.1,1,Normal,0.42079845113702186
1.28,989.96,91.2,1,Normal,0.4215723801191544
1.18,989.86,91.4,1,Normal,0.4226759307815473
1.07,989.82,91.9,1,Normal,0.42476059475638417
0.99,989.75,92.4,1,Normal,0.4304717033476582
0.88,989.64,92.7,1,Normal,0.430943399611589
0.77,989.55,93.1,1,Normal,0.43427595028794436
0.66,989.48,93.7,1,Normal,0.4346831882667675
0.63,989.36,94.2,1,Normal,0.4408018843523856
0.55,989.18,94.5,1,Normal,0.44239916450830014
0.5,989.09,94.8,1,Normal,0.4417037248055902
0.5,988.98,95.0,1,Normal,0.44277778486764796
0.5,988.81,95.2,1,Normal,0.4459476142906542
0.5,988.65,95.3,1,Normal,0.44840909845846505
0.47,988.46,95.4,1,Normal,0.44993312605032953
0.38,988.34,95.5,1,Normal,0.4504004969763184
0.34,988.19,95.5,1,Normal,0.44870756939642026
0.3,988.07,95.7,1,Normal,0.45205396174119433
0.3,988.02,95.7,1,Normal,0.4515027588929688
0.24,987.9,95.7,1,Normal,0.4536527454022043
0.16,987.77,95.9,1,Normal,0.4544867878251537
0.16,987.63,96.0,1,Normal,0.45424908717726775
0.07,987.52,96.0,1,Normal,0.4543703265959124
-0.23,987.4,96.0,1,Normal,0.454876088595673
-0.45,987.27,96.4,1,Normal,0.4570032192279739
-0.53,987.16,96.7,1,Normal,0.4605971306884734
-0.62,987.07,96.9,1,Normal,0.46278175681897915
-0.64,986.94,97.1,1,Normal,0.46506189215626037
-0.61,986.85,97.2,1,Normal,0.4660897281001553
-0.69,986.78,97.2,1,Normal,0.46696686024221706
-0.71,986.68,97.3,1,Normal,0.46696686024221706
-0.71,986.57,97.5,1,Normal,0.4688687099827378
-0.74,986.53,97.5,1,Normal,0.4688687099827378
-0.71,986.38,97.7,1,Normal,0.4696446775444346
-0.66,986.25,97.7,1,Normal,0.4675754576410134
-0.67,986.2,97.7,1,Normal,0.4689308143097972
-0.59,986.17,97.9,1,Normal,0.4681153436023121
-0.56,986.13,97.8,1,Normal,0.4678450225256557
-0.61,986.06,97.8,1,Normal,0.4678450225256557
-0.5,986.05,98.0,1,Normal,0.4683852197400249
-0.29,985.97,98.1,1,Normal,0.4677514698663257
-0.07,985.91,98.2,1,Normal,0.4693019960313332
0.08,985.76,98.0,1,Normal,0.46598736625087717
0.1,985.68,98.0,1,Normal,0.46598736625087717
0.13,985.58,98.0,1,Normal,0.4666183544225603
0.16,985.49,98.0,1,Normal,0.4666183544225603
0.16,985.45,98.0,1,Normal,0.46630275360723233
0.16,985.44,97.9,1,Normal,0.46630275360723233
0.17,985.44,97.9,1,Normal,0.46630275360723233
0.16,985.44,97.8,1,Normal,0.46576495813902535
0.15,985.43,97.8,1,Normal,0.46576495813902535
0.1,985.32,97.8,1,Normal,0.4650698613409151
0.11,985.32,97.8,1,Normal,0.4656996071296763
0.1,985.37,97.8,1,Normal,0.4650698613409151
0.09,985.45,97.7,1,Normal,0.46513512397887125
0.09,985.49,97.8,1,Normal,0.46544993452465894
0.13,985.59,97.8,1,Normal,0.4660801949661783
0.0,985.68,97.4,1,Normal,0.46393853985606914
-0.27,985.69,97.4,1,Normal,0.4638268895894167
-0.45,985.69,97.4,1,Normal,0.46318809427818197
-0.54,985.79,97.6,1,Normal,0.46792814984679765
-0.57,985.86,97.7,1,Normal,0.4678450225256557
-0.58,986.0,97.8,1,Normal,0.4678450225256557
-0.75,986.09,97.8,1,Normal,0.4687254579483232
-0.89,986.25,98.0,1,Normal,0.47093009438230055
-1.01,986.37,98.0,1,Normal,0.4721810456625357
-1.1,986.49,98.0,1,Normal,0.47309294711787975
-1.21,986.66,98.0,1,Normal,0.4737335568754785
-1.31,986.82,98.1,1,Normal,0.47546274969810687
-1.4,987.02,98.1,1,Normal,0.479374000920091
-1.59,987.25,97.9,1,Normal,0.4801687831336078
-1.74,987.52,98.1,1,Normal,0.4828725565234071
-1.79,987.69,98.2,1,Normal,0.4862041198128977
-1.93,987.81,98.0,1,Normal,0.48344170156535654
-2.16,987.95,98.0,1,Normal,0.48257166168318905
-2.25,988.18,98.1,1,Normal,0.483912022039231
-2.33,988.4,98.0,1,Normal,0.48505406270097357
-2.43,988.64,98.0,1,Normal,0.48306966880039726
-2.61,988.78,97.7,1,Normal,0.48309405411526884
-2.88,989.01,97.7,1,Normal,0.4867308297223699
-2.99,989.28,97.7,1,Normal,0.4879419028394753
-3.03,989.55,97.5,1,Normal,0.4856550543162533
-3.03,989.78,97.2,1,Normal,0.4809216431704009
-3.11,989.93,96.9,1,Normal,0.48042446017430057
-3.2,990.1,96.8,1,Normal,0.4863012516827926
-3.16,990.24,96.6,1,Normal,0.4814182647911065
-2.99,990.32,95.7,1,Normal,0.4760401718342335
-2.98,990.44,94.2,1,Normal,0.46102320119316564
-3.1,990.56,93.6,1,Normal,0.4594711787650229
-3.0,990.73,93.1,1,Normal,0.46319260485685787
-3.04,990.82,92.0,1,Normal,0.45409284515525933
-3.2,990.98,91.6,1,Normal,0.45815500432407613
-3.23,991.1,91.5,1,Normal,0.45817807549456735
-3.28,991.15,90.5,1,Normal,0.4552843766696579
-3.29,991.23,89.5,1,Normal,0.449885146885278
-3.11,991.37,89.2,1,Normal,0.4434332802337989
-2.98,991.45,86.7,1,Normal,0.4399374163749605
-2.96,991.52,85.1,1,Normal,0.4380708139920632
-2.5,991.72,81.4,1,Normal,0.4525815765839035
-2.64,991.76,77.8,1,Normal,0.45585494427124557
-2.94,991.84,79.9,1,Normal,0.46162354973654257
-3.12,991.95,82.0,1,Normal,0.4583960654784532
-3.21,992.03,81.0,1,Normal,0.4582312793598494
-2.94,992.08,78.8,1,Normal,0.4618688360234864
-2.65,992.08,75.5,1,Normal,0.46685139673594817
-2.36,992.13,72.2,1,Normal,0.47197702194879204
-1.93,992.22,70.1,1,Normal,0.4771700124957195
-1.82,992.28,70.2,1,Normal,0.4761459134250962
-2.29,992.4,69.21,1,Normal,0.4828910021935038
-2.11,992.47,67.39,1,Normal,0.4894529414077658
-2.22,992.7,66.69,1,Normal,0.4911293979714907
-2.14,992.89,67.29,1,Normal,0.4888762375541221
-2.19,992.99,67.94,1,Normal,0.4869839436683005
-1.95,993.07,67.56,1,Normal,0.48924671372120926
-2.02,993.2,66.64,1,Normal,0.4925290907925767
-2.22,993.37,68.92,1,Normal,0.48663923666097464
-2.48,993.54,70.8,1,Normal,0.480861024577732
-2.37,993.67,70.5,1,Normal,0.4792102615292875
-2.2,993.75,70.6,1,Normal,0.47699816678739804
-2.45,993.8,71.5,1,Normal,0.47718176247844635
-2.62,993.95,72.2,1,Normal,0.47406031124740533
-2.51,994.13,72.6,1,Normal,0.4717819443853333
-2.49,994.26,72.7,1,Normal,0.4710265180456527
-2.46,994.34,72.9,1,Normal,0.4685602891543651
-2.65,994.48,73.2,1,Normal,0.4712527044649464
-2.82,994.57,72.3,1,Normal,0.47864756935263325
-3.06,994.72,73.3,1,Normal,0.475397008876687
-3.29,994.88,74.8,1,Normal,0.4750274324324295
-3.38,995.03,73.5,1,Normal,0.47774027872546015
-3.5,995.21,72.6,1,Normal,0.48471449158403124
-3.57,995.33,72.9,1,Normal,0.48314409025888055
-3.63,995.51,73.6,1,Normal,0.4799328961123137
-3.69,995.7,74.1,1,Normal,0.48272438935866435
-3.52,995.89,73.2,1,Normal,0.48251854257731464
-3.5,996.04,72.7,1,Normal,0.48517363559568877
-3.56,996.13,72.7,1,Normal,0.48517363559568877
-3.66,996.31,73.3,1,Normal,0.482761722154433
-3.75,996.45,73.8,1,Normal,0.4842707370450246
-3.93,996.62,74.8,1,Normal,0.48116548124578956
-3.99,996.73,74.9,1,Normal,0.484289675957127
-4.15,996.85,75.6,1,Normal,0.4860341653085607
-4.3,996.87,76.2,1,Normal,0.48346196073045444
-4.42,996.96,76.9,1,Normal,0.4845717581991906
-4.56,997.08,77.3,1,Normal,0.48469733207311133
-4.7,997.11,78.0,1,Normal,0.4823826329725178
-4.76,997.23,78.0,1,Normal,0.483593900368745
-4.77,997.3,77.8,1,Normal,0.48269986758524885
-4.77,997.4,77.6,1,Normal,0.4837980502519673
-4.81,997.48,77.8,1,Normal,0.48112917010579453
-4.89,997.57,78.2,1,Normal,0.4824607026528435
-5.3,997.61,80.4,1,Normal,0.48770205805123495
-5.5,997.69,82.5,1,Normal,0.47980847287974054
-5.28,997.82,82.0,1,Normal,0.4837041279734243
-5.05,997.94,80.9,1,Normal,0.48246439914847694
-5.06,997.97,80.8,1,Normal,0.4866338203164112
-5.1,998.06,81.9,1,Normal,0.48159018542212895
-5.1,998.2,83.2,1,Normal,0.4790288199884056
-4.99,998.32,84.1,1,Normal,0.47190639387034605
-5.03,998.4,84.3,1,Normal,0.4745664439433894
-5.14,998.48,85.2,1,Normal,0.4757964238193203
-5.23,998.47,86.0,1,Normal,0.4759546736758354
-5.29,998.59,86.8,1,Normal,0.4815980973492362
-5.16,998.71,87.4,1,Normal,0.4812317730972028
-5.02,998.8,87.8,1,Normal,0.47466131291776836
-4.9,998.93,88.0,1,Normal,0.4717260154488176
-4.92,998.96,88.2,1,Normal,0.47058256047016617
-4.95,999.06,88.4,1,Normal,0.47595334817349866
-4.97,999.12,88.4,1,Normal,0.47664459507134793
-4.93,999.2,88.5,1,Normal,0.47630181864749427
-4.86,999.2,88.4,1,Normal,0.47319057744426446
-4.86,999.19,88.6,1,Normal,0.4746008508855655
-4.81,999.2,88.4,1,Normal,0.47273387790684773
-4.85,999.27,88.6,1,Normal,0.4746008508855655
-4.75,999.3,88.3,1,Normal,0.472461558256561
-4.64,999.29,87.3,1,Normal,0.47407930024221456
-4.63,999.28,86.8,1,Normal,0.47206322137710677
-4.69,999.19,86.7,1,Normal,0.4734089412957482
-4.75,999.23,87.1,1,Normal,0.4753716713961015
-4.79,999.29,87.0,1,Normal,0.4758195476000483
-4.82,999.37,87.1,1,Normal,0.4753716713961015
-4.85,999.37,87.4,1,Normal,0.47583091925747517
-4.84,999.37,87.5,1,Normal,0.4747288464858483
-4.85,999.34,87.8,1,Normal,0.4743180702527378
-4.9,999.33,88.2,1,Normal,0.47486416580204055
-4.74,999.29,88.6,1,Normal,0.4741427902237752
-4.66,999.32,87.7,1,Normal,0.47407930024221456
-4.72,999.32,87.3,1,Normal,0.4753716713961015
-4.84,999.31,87.7,1,Normal,0.4747288464858483
-4.91,999.23,88.1,1,Normal,0.4760180245298842
-4.97,999.24,88.0,1,Normal,0.4774571676325732
-5.02,999.2,88.2,1,Normal,0.4778189902940667
-4.98,999.24,88.2,1,Normal,0.4762998204489483
-4.95,999.25,88.2,1,Normal,0.4762998204489483
-4.91,999.33,88.3,1,Normal,0.47461293112233643
-4.85,999.42,88.3,1,Normal,0.47291799471095336
-4.83,999.35,88.3,1,Normal,0.47182266856864075
-4.84,999.34,88.1,1,Normal,0.47321950139316926
-4.88,999.41,88.3,1,Normal,0.47291799471095336
-4.87,999.46,88.6,1,Normal,0.4749220679796875
-4.84,999.49,88.6,1,Normal,0.4753297946886938
-4.86,999.54,88.5,1,Normal,0.4775069295260718
-4.87,999.53,88.4,1,Normal,0.47608802069038114
-4.84,999.45,88.4,1,Normal,0.47241414081145383
-4.91,999.46,88.5,1,Normal,0.47662418698253944
-5.0,999.54,88.5,1,Normal,0.4822002306713599
-5.08,999.58,88.7,1,Normal,0.48324169414408075
-5.05,999.65,88.9,1,Normal,0.4835086756784107
-5.02,999.7,88.7,1,Normal,0.48150919759994804
-4.97,999.74,88.6,1,Normal,0.48030315180079386
-4.93,999.82,88.6,1,Normal,0.47940867912071633
-4.96,999.82,88.5,1,Normal,0.48085807317382434
-4.9,999.9,88.6,1,Normal,0.4840127935298476
-4.94,999.99,88.2,1,Normal,0.4831861328342435
-5.04,1000.06,88.5,1,Normal,0.48920371043279026
-5.17,1000.14,88.3,1,Normal,0.4913622621606716
-5.24,1000.17,88.6,1,Normal,0.49373002210198763
-5.01,1000.21,88.3,1,Normal,0.48718716981819477
-5.01,1000.31,87.0,1,Normal,0.4899741631681598
-5.32,1000.31,87.3,1,Normal,0.49944660920307593
-5.31,1000.38,87.6,1,Normal,0.49944660920307593
-5.33,1000.43,87.3,1,Normal,0.49944660920307593
-5.19,1000.43,87.0,1,Normal,0.4951772104784937
-5.09,1000.46,86.6,1,Normal,0.4902739675307829
-4.69,1000.52,86.3,1,Normal,0.4799893050955107
-4.35,1000.49,84.1,1,Normal,0.48214166426237337
-4.32,1000.51,83.5,1,Normal,0.48586686913896093
-3.98,1000.53,82.4,1,Normal,0.48663801712701865
-2.81,1000.51,79.1,1,Normal,0.4917399715949552
-2.34,1000.54,74.3,1,Normal,0.49227361053832663
-2.91,1000.56,75.3,1,Normal,0.498506198751182
-3.12,1000.66,78.1,1,Normal,0.4951032505080121
-3.07,1000.66,77.3,1,Normal,0.4984511564594527
-3.45,1000.68,78.9,1,Normal,0.4992870822247922
-2.99,1000.69,78.6,1,Normal,0.49386315541035036
-2.32,1000.7,74.7,1,Normal,0.49060283085235534
-1.88,1000.63,72.8,1,Normal,0.4956809167767154
-2.16,1000.55,70.0,1,Normal,0.5076368620574775
-2.28,1000.45,70.3,1,Normal,0.5043593053592138
-2.88,1000.39,70.9,1,Normal,0.5107944273296301
